cluster_id,mean_pc1,mean_pc2,mean_pc3,mean_pc4
-1,0.25103771762697646,-0.02348033851966697,-0.07335541742970524,0.019772613703769183
1,-0.2542019979167245,-0.1362303557196523,-0.23685148850638083,-0.12956360618415255
2,0.016868608098301468,-0.08095513969950353,-0.18180905575374645,0.08026487445894229
3,-0.3000985834817657,-0.11044033404008764,-0.1984193349848494,-0.15365880887241953
4,-0.29049119835575815,-0.09364654828286158,-0.10673727870174271,-0.21944910790468777
5,-0.03965426913209184,-0.08601320034187442,-0.13704876553830683,0.11101798916105925
6,-0.076452165897715,0.04066201574614599,-0.06657829128968172,0.3417416203065223
7,-0.02670577757046362,-0.08937343898497815,-0.11255041409929645,0.11105528049358795
8,-0.057169810688474404,0.06233100342653346,-0.003886905103337191,0.3231230498243936
9,-0.08356660221933213,0.4030946158198941,0.06011047342772338,-0.1390065276709592
10,-0.043925544690223646,0.33880430986422455,0.07848235892777453,-0.09534857024109396
11,0.007264415953151018,-0.13471572110609836,-0.01068113919370228,0.10441102393375512
12,-0.0449330234605163,0.0564081911043396,0.04481290233127933,0.3055437025185785
13,-0.05298097346683099,0.06387625827047796,0.0713171673734555,0.28716919548743025
14,-0.010549711372235216,0.2608922679920935,0.08332029760754552,-0.07596050084336704
15,-0.061511007824293494,-0.05580907835096214,0.39274420423378864,-0.045005630184729445
16,0.32487395332609603,0.014038630149489783,-0.15268135644309086,-0.028720188628698125
17,0.1435608956286422,-0.11111583307640556,0.30247757356661387,-0.184674284611938
18,0.03721732318880017,-0.27736799808946483,0.29743747743441706,-0.025032163278112248
19,0.38691787863056215,0.0005247011984335308,-0.14708299792450327,-0.0866688350383852
20,0.3365568233888528,-0.032583175673964765,-0.09817259323528561,-0.05494972876009697
